State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10	11
1	0.8052835120768953	0.06152788780024553	0.004078887386557754	0.0013032878518310905	0.1150449364804246	0.008737597833144796	0.0028061462063022663	0.0011051668880933166	5.065697223089636E-7	1.1207090678310804E-4	0.0
2	0.041415482529887845	0.789361569951606	0.14510540060262522	0.01733434099851839	0.0	1.1754105792678803E-5	5.452076535776177E-4	3.081506990665904E-5	1.82874383853224E-4	0.005940210003264934	7.234470096718332E-5
3	0.002061261973913426	0.11713189243149254	0.5927876445382739	0.21375301070651853	0.0029559498331112027	0.0	0.0026525427995253274	0.001523018866437476	0.003722190834330031	0.040113069636764954	0.02329941837963272
4	1.9791165138023387E-4	0.005187867970296592	0.08233434646010726	0.7003419358453536	0.002625648595635473	0.0	0.011345500826208844	6.815453819329891E-4	0.0035119088985101185	0.1936201917973358	1.5314257323906512E-4
5	0.06544358933370832	0.0	0.0031289716660108853	0.007617101203777995	0.7676130262867029	0.12217112483230898	0.03306008634965627	9.66100327834628E-4	0.0	0.0	0.0
6	0.001879873761723375	1.183337570419372E-5	2.9176266198786416E-6	0.0	0.049719206752343495	0.9176539761001354	0.027653299954763195	0.0030788924287104857	0.0	0.0	0.0
7	2.669864660172608E-4	7.685483980116751E-5	4.537798354224948E-4	0.005638345003294565	0.0053923769523386384	0.011319141247668618	0.9649191047271578	0.005768540968337617	0.0	0.0061648699599618825	0.0
8	0.0011174820072320554	0.0	0.004619431627209452	0.0	0.0021689155795977457	0.016129657842108017	0.07518565202244394	0.8458815926495156	0.05484471475995401	0.0	5.255351193913684E-5
9	2.915370703304601E-7	3.6078992578108785E-5	9.430981821285367E-4	0.0023804013551573452	0.0	0.0	0.0	0.00518440382808515	0.9208003479307324	0.06845833848635684	0.002197039687891309
10	1.8360883823998706E-6	1.0068810565703044E-4	8.006356686925185E-4	0.009789158862716996	0.0	0.0	6.434380564160505E-4	0.0	0.00560252324100925	0.978637027683745	0.004424692293380636
11	0.0	1.0663892864527142E-5	0.0036286657840686647	6.968927154996013E-5	0.0	0.0	0.0	0.0	0.0014258252388009425	0.03417566755638762	0.960689488256328
